COMMUNE,population,population_density,all_cash_distance_km,atm_distance_km,atm_access_gap_km
Wincrange,4729.197268406135,41.55182489763275,6.841619841912342,8.760794516849142,1.9191746749367997
Boulaide,1440.418380385999,44.45464872717152,4.675542667358539,7.376928819013802,2.701386151655263
Reisdorf,1642.3919485176477,111.19848482784461,6.804833467978267,7.17899917337655,0.37416570539828253
Bech,1354.8643307593297,57.846059138238886,6.793284170843814,6.941242071516836,0.14795790067302228
Mertzig,2298.506373064627,207.15907424594113,3.9860825178306722,6.07987203441662,2.0937895165859475
Clervaux,5734.550150223036,66.98261461130264,2.584719251143732,5.905841932222138,3.3211226810784065
Steinfort,5572.678491643931,457.79100605424946,1.0003600604061587,5.753317280538795,4.752957220132636
Kiischpelt,1231.755736544885,36.489319018793964,5.117257720423689,5.410640685731995,0.29338296530830554
Habscht,4945.0895311006125,151.80074979836712,1.7477214110659212,5.339108907439242,3.591387496373321
Préizerdaul,1770.6200921322156,112.55530328433612,5.259910212442084,5.321064251233209,0.06115403879112513
Putscheid,1203.108136399933,44.531265210061505,3.5636056878397055,5.267957987563148,1.7043522997234422
Bettendorf,3425.2292182720025,147.32241995191646,3.2192148849445923,5.141637210687919,1.9224223257433266
Groussbus-Wal,2142.6506076842243,53.004035690390886,5.0716294984865415,5.1397302270003635,0.06810072851382198
Rosport-Mompach,3613.591766348118,63.776983999494895,4.7916913875485925,5.062129549396787,0.2704381618481948
Bourscheid,1611.0808487345103,43.72482886994975,4.7282346625132305,5.027541911181743,0.2993072486685122
Dippach,4424.2257081403795,256.26973539290975,4.4543547066355025,5.020076207478581,0.5657215008430789
Garnich,2181.969440270738,104.25721205168352,4.346253198143538,4.955620343014294,0.609367144870756
Vichten,1380.3473633756523,111.03242728306384,4.735850824454853,4.848510032718372,0.11265920826351916
Lac de la Haute-Sûre,2211.8072455033157,45.436370707888926,2.488063149329813,4.760773495909719,2.272710346579906
Troisvierges,3422.914281391139,89.77097831958865,4.340196260069724,4.760511741856808,0.42031548178708444
Consdorf,2183.181726777252,84.120318633686,4.7381151671690835,4.756234018520898,0.018118851351814236
Useldange,2052.8619418660746,85.52318418530476,4.724945221943165,4.755488029716245,0.03054280777308005
Wormeldange,2860.3292228194473,171.15520011578946,1.2805594176500914,4.664002104532338,3.3834426868822467
Manternach,2205.6958430668983,79.19408613252678,4.569231839836058,4.5706183265448495,0.001386486708791601
Nommern,1422.393395976798,62.67393403773655,4.540098249810497,4.540515337519422,0.0004170877089251235
