facility_index,weighted_distance_before_km,weighted_distance_after_km,weighted_distance_increase_km,population_extra_distance_ge_1km,population_extra_distance_ge_2km,population_extra_distance_ge_5km
205,1.7421534484407806,1.8089205787285436,0.06676713028776304,8611.0,7855.0,3645.0
284,1.7421534484407806,1.8057123797848282,0.06355893134404766,16556.0,11128.0,0.0
282,1.7421534484407806,1.8042390153422223,0.062085566901441736,10414.0,8607.0,2548.0
161,1.7421534484407806,1.8004659204262392,0.058312471985458636,14442.0,11798.0,0.0
271,1.7421534484407806,1.7981029261976986,0.055949477756918053,7811.0,7719.0,1024.0
225,1.7421534484407806,1.7968695533946144,0.05471610495383383,6614.0,6243.0,3780.0
196,1.7421534484407806,1.7813887510592181,0.03923530261843755,6153.0,5477.0,2183.0
169,1.7421534484407806,1.777349086539934,0.03519563809915338,6094.0,5519.0,0.0
154,1.7421534484407806,1.7753424077956494,0.033188959354868874,6773.0,5220.0,140.0
220,1.7421534484407806,1.7742088651455057,0.032055416704725115,7244.0,4637.0,0.0
288,1.7421534484407806,1.773462825751938,0.03130937731115746,3744.0,3275.0,2414.0
253,1.7421534484407806,1.7732340954887647,0.031080647047984078,6147.0,3716.0,1779.0
84,1.7421534484407806,1.7700747529745458,0.02792130453376518,5484.0,2790.0,2236.0
31,1.7421534484407806,1.767715437680139,0.025561989239358374,5696.0,3847.0,0.0
269,1.7421534484407806,1.7664267295095475,0.024273281068766916,4722.0,0.0,0.0
216,1.7421534484407806,1.7614935732987518,0.019340124857971208,5017.0,3015.0,0.0
194,1.7421534484407806,1.761059992210439,0.0189065437696585,3142.0,2395.0,878.0
103,1.7421534484407806,1.7603752735616875,0.018221825120906976,3452.0,2180.0,704.0
318,1.7421534484407806,1.7595111372264014,0.01735768878562083,4262.0,2599.0,0.0
204,1.7421534484407806,1.757878389308955,0.01572494086817433,2409.0,0.0,0.0
312,1.7421534484407806,1.7577362540022163,0.015582805561435764,2698.0,2629.0,0.0
