access_type,threshold_km,covered_population,coverage_pct
All physical cash access,0.25,98533,15.313947343881136
All physical cash access,0.5,223192,34.688383948276396
All physical cash access,1.0,421497,65.50884336825091
All physical cash access,2.0,507511,78.87709427745484
All physical cash access,5.0,621565,96.60330732647415
ATM only,0.25,56790,8.826272108420627
ATM only,0.5,150213,23.346025923968792
ATM only,1.0,342170,53.17988250287526
ATM only,2.0,443171,68.8774051164092
ATM only,5.0,595608,92.56908395760156
